Coding,Message
Community,Are you affected by climate change? \nhttps://www.youtube.com/watch?v=cjuGCJJUGsg
Community,http://nas.er.usgs.gov/taxgroup/fish/Lionfishanimation.gif
Community,Every once in a while during storms we will get one washed up on the beach. It has been a few years since our last one!
Community,"Hi jeff. the use of spearguns, pole spears or hawaain slings is prohibited throughout the Bay Islands. with the recent invasion of the lionfish, the RMP has begun issuing licenses to both snorkelers and divers to hunt them. people interested can acquire a license and hunt year round, not just during derbies. anyone caught using a speargun, or using the lionfish pole spear for shooting any other species of fish, or using them on lobster with have their gear confiscated, be sent to jail and possibly receive a fine. please visit our office in west end for more information or email us at info@roatanmarinepark.net"
Community,"Deba Matherne, The facilities available on Roatan only cater to PET 1 bottles and drink cans and there is a return on the bottles and aluminum cans but it is very little. \n\nPlease do not forget that Honduras is in no way as advanced as the US no matter how many years ago you began gathering bottles for pocket change. \n\nWe are still a developing country and develop we must! \n\nHopefully you can imagine how hard it must be to collect recyclables for pennies a pound when you have no safe  place to sleep at night. These structures would provide sanctuary for many people not only in the US, where you might not see it as a viable option, but worldwide where there are people suffering due to lack of basic human rights. \n\nBrain surgery it is not but common sense would tell you that this is a great option for many people especially in countries where recycling is not even an option."
Community,National News Coverage!!  Great Job Bay Islands Coastal Clean Up and everyone that helped out!!! :) \n\nhttp://www.tiempo.hn/portada/noticias/islas-de-la-bahia-limpia-sus-playas
Community,Nick or Christie will be able to help you.
Information,Bracelet sales and business membership payments from dive shop operating within the Sandy Bay West End Reserve from Jan-Sep 2012
Community,We have 2 recycling receptacles available for anyone who wants one. Just drop by the office if your business wishes to promote recycling and grab one
Community,Anyone that will be in La Ceiba on Dec 5th should check this out!! 
Community,Dan Carr We will look into it! Eddie Nakada if it's been 2 years you are up for a renewal! Bryan R\xfcsell Neper Escalante have you completed the workshop already?
Community,"Interested in our whale shark population? Read this exert by Rachel T. Graham from the Gulf and Caribbean Research Vol 19(2), 149\u2013159, 2007 \n\nhttp://aquaticcommons.org/14033/1/Graham_GCFI_Pelagics.pdf"
Information,Sorry for the short notice but it was extremely rough on the south side this morning so we then released the juveniles in West End.
Information,A denuncia can be filed with the municipality and the sanitation department.
Action,"Hi Sheila Chastain, we have a membership program where people can name a dive site. For a $1,000 donation, you can choose a location and a site of a new dive site anywhere around the island   http://www.roatanmarinepark.com/become-a-member/membership-programs/"
Action,We are looking for a supplier of untreated pine  to build bee hive boxes and have been told that La Ceiba would be able to offer the best prices. Anyone out there have any contacts? \nWe are looking for 1x10 untreated pine.
Community,"Hi Amilcar, you can call me on 32856040. If you give us more information we can try find someone to help with this. Thank you!"
Information,Of all our members most of them will stockpile but of those that do not have the freezer capacity we know their suppliers and they are all frozen in season.
Community,"Well done Giacomo Palavicini, Executive Director of the RMP for helping to spread our great work and experiences across the Bay Islands. The workshop about 'Protocols and Complaints in the Bay Islands Marine Park was a great success! Thanks to UMA and BICA and CORAL's support for organising the event w in Utila town and the Cays! The participants Navy, Preventive Police, Municipal Police, local NGO, Sea Shepherd, Peace Judge and fisherman donated their time to be informed and shared their experience. Thank you all for doing such a great job and working together!"
Information,Read our latest newsletter and find out what the RMP has been up to\nhttp://www.roatanmarinepark.com/newsletters/2013/07-July.pdf
Action,"time is running out, send your photos in, maximum of 5 per person, for your chance for your photos to appear in the RMP 2010 calendar"
Community,"We would like to thank our latest Individual Gold Members, Linda and Loyal Quackenbush. They named their dive site ""Alice's Wonderland"" after their grand daughter. Located to the west of Deep Seaquest, the site is on a large patch sitting at 40ft and is just by the wall."
Information,Self Explanatory... :)
Action,"Heartbreaking but a powerful reminder of why we do what we do! To prevent things like this is why we work so hard and deal with so much stress! \nPlease support your local environmental NGOs, they are doing it for the greater good!"
Community,we will mail them... how bad do you want one? :)
Community,Share your creations!! Our baby is promoting Bay Islands Responsible Seafood!
Community,We want to thank the Port of Roatan for donating to the RMP a brand new Yamaha 115hp for our Chelsea Boat that patrols the area of Cordelia Banks. This donation will improve our patrols and bring safety and efficiency to our patrols and ranger. Thank You
Information,Just a reminder that there is  FREE Water Taxi and Shuttle back and forth from West End  to Banarama on Friday. Our birthday bash starts at 1pm but we will keep going until late so make sure you come along! https://www.facebook.com/events/785172788236227/
Action,Lionish Workshop this Wednesday at 4pm! Don't miss your chance to get a license to kill! Sign up today!
Community,Thank you Naomi Gittoes - Artist Page for this week's photo of the week!! It is beautiful!
Community,"Our candidates for Protect Our Pride, dive program for English speaking Hondurans, are doing great things! Last Friday Edgard Antunez a resident of Mud Hole and a tour guide at Upachaya organized a school presentation and beach cleanup! I think we are on to something here, ladies and gentlemen... Great Job to everyone that helped out! \r\nMore updates to come!"
Information,These are the bracelet sales and memberships of businesses on the southside and east end of January and February 2013... Thank you everyone for your support!
Community,Do you think this is true? Is it really on the decline or is this something to make us feel better about what is being done everyday!
Action,"Check back regularly to see the submissions for this year's photo competition.  Winners will be announced in August and featured in the 2010 RMP Calendar, which will be available in late Sept. \n\nNames of the submitters will not be shown prior to judging so as to not bias the results."
Community,"We would like to thank our newest Individual Gold Members Greg and Cris Buscetto who named their dive site Wicked Pissa after their favorite show Wicked Tuna. Located at the far end of Sandy Bay opposite Blue Harbor, the mooring sits in 35ft in a in a crack next to the shallows."
Information,Todas nuestras capturas se reportan a DIGEPESCA y en el caso de delitos ya graves a la FISCALIA
Community,"RMP Executive Director Giacomo Palavicini has been awarded a Sea Hero in Scuba Diving Magazine. The Sea Heroes Award recognises people of action, devoted to protecting the planet's oceans marine life through conservation. At the end of the year a panel of judges selects a Sea Hero of the Year! Keep your fingers crossed for Giacomo to win!"
Information,"People have been asking for a list of all the dive sites between Palmetto Bay and Key Hole near West Bay, so here it is with the GPS coordinates and depth of each site"
Information,Grouper's Last Stand
Community,"Si, cuanto necesitas?"
Community,"No, sorry. We have adrenaline, if that would help you!"
Action,Have some time after Semana Santa?? We will be having a beach cleanup on Tuesday the 2nd of April! \nContact Christi if you are interested in participating...
Information,To find out what we've been up to in November click on the link below\n
Action,follow the link and look at becoming individual members.
Community,Thank you to West Bay Divers... They took the initiative and tackled some of the trash that has been littering out beaches for the last few days. It's all one big bowl of plastic soup... 
Action,"You are invited to send 6 photos which can fall within any of the 6 categories. They must be taken by you, here on Roatan and underwater. Please attach a location, name and category for each photo submitted. The deadline is July 15th and all submitted photos will be available for viewing on facebook. The Best Find category will be judged by \u201cyou\u201d on facebook with the most votes winning that group. All other categories will be judged by independent adjudicators and the winners will appear in the 2014 RMP calendar."
Action,"FINALLY HAS THE 2010 CALENDAR IN STOCK AFTER WAITING ALMOST 2 MONTHS FOR DELIVERY, THEY ARE ONLY $15 SO IF YOU WISH TO PLACE AN ORDER, CONTACT US AT info@roatanmarinepark.net"
Community,"Perla Dive most of it had been taken to the dump. Donna Pieracini I guess not, is it bad up there?"
Action,"Has everyone got their 2015 black wristband or token yet? We are going to be sending some to the US soon, so if you are interested please email us to info@roatanmarinepark.net or drop into our ECO Store today! By buying these you are helping to protect the reef. Your contributions are really appreciated. Thank you!"
Community,"Our brother and former Park Ranger is now serving our country as a proud member of the Honduran Navy! \nGreat job Humberto, we are very proud of you!"
Action,We will be participating in a Coastal Cleanup this Sunday (8-11)!! Weather Permitting! \r\n We will be meeting at the Marine Park Office at 8AM! Please bring water and gloves if you have any!!
Community,Awesome! We will return the favour!!
Community,Maureen Connors we will meet at the Marine Park @ 8 and walk down together to the beach! :)
Community,Mangrove exploration field trip yesterday with NUNA Academy! \nThank you Miss Lorna and all the grade 7 & 8 students for allowing us to share our knowledge and passion for the island!
Action,We are looking for someone that can install our new POS system... \nKnowledge of Quickbooks is a must. We will compensate for your help...  :) Thanks
Community,Awesome shirt!!
Community,FINconceivable; What happens when sharks disappear? 
Information,Final count on LIKES= 97
Community,Andrea questo pesce \xe8 una passera (flounder)
Information,Press Release
Community,Reports have been streaming in about the abnormal amounts of trash littering the southside of the island. What do you think we can do about this? Tell us your ideas!
Community,please email us at info@roatanmarinepark.net
Community,"Roberto Mejia Astorga Just so you know, It has absolutely nothing to do with poor vs rich! It is not fishing that is illegal, it is the way they are fishing... Handlines (rod and reel included) are legal... Spears are not! Also, the fish that the sport fishers catch are open water, migratory fish (for the most part) that have no direct impact on the reef that so many of us rely on. So let's make that difference crystal clear and protect the reef!"
Information,Almost...
Information,Final count on LIKES= 24
Community,These turtles were found washed up on the beach a few months ago after the winds/currents changed (just like the last few days). This is why the alert is out for people walking the beach to keep their eyes open. \nRaymond Cass sorry they are at Maya Key in coxen hole. They run an animal rescue out there and would be more than happy to have you and your daughter come out.
Information,Looks like rain! http://www.wunderground.com/wundermap/?lat=16.31999969&lon=-86.52999878&zoom=8&pin=Roatan%2c%20&rad=1&rad.type=00Q&wxsn=0&svr=0&cams=0&sat=0&riv=0&mm=0&hur=0
Community,"We would like to thank our latest Individual Gold Members K. R. Prabha and Unmesh Wankhede who purchased a new site ""R & R's Easel"" which is located in front of the 3rd pallapa close to Pablos on the south shore near West Bay"
Information,"Photos from this year's Garifuna April 12th Celebration, which marks the arrival of the first Garifuna people to Central America and in particular Punta Gorda.  To see more updates on sustainable tourism and local culture. Click like on Go Blue Central America Geotourism"
Information,"This is great news! Imagine the impact from such a large city. Now let's do our part by continuing to reduce our consumption of single-use products and packaging.\nReduce, Reuse, Recycle."
Community,MANGROVES are our best natural filters and we need to restore them now with joint efforts because of all the reasons this video shows.
Information,"DO NOT VOTE ON THIS ALBUM! Please note that this is not the album that will be open for LIKES. We will post a new album shortly of the top 20 photos chosen by the RMP staff based on how rare and unusual the find actually is. We will then be asking you, our friends and members, to vote on your favourite of those 20! \nPlease keep your eyes and ears open as LIKING will only be open for ONE WEEK!!!"
Community,Congratulations to all winners!!!!
Community,"Thank you Eric Addicott for this prize winning photo, He came 3rd place in our Divers category in our Photo Competition!!  Check out this photo and others in our 2015 calendar!"
Information,Awe inspiring message... 
Community,Support Earth Hour by using free school action kit (presentations and slideshows) found at!\nhttp://earthhour.wwf.sg/2014/schools/\nand create and register an event in your town with a starter kit by clicking the link:  http://www.earthhour.org/earth-hour-starter-kit 
Information,"We had a great day at Punta Gorda yesterday celebrating and learning more about local cultures, a key theme in sustainability. Take a look at this video to learn a bit more about what it was all about."
Action,"The RMP is looking for 3 MSDTs to help out with a Junior Park Ranger program for 5 weeks starting in July. Each Instructor will be teaching 5 local kids OW, NAV, PPB, Fish ID and NAT specialties PLUS EFR.  We are also looking for diveshops that will help us accommodate the groups. \nTHESE ARE PAID POSITIONS! \n\nMSDTs MUST: \nHave, at least,  intermediate Spanish\nLike kids \nBe patient\nFun Loving and Creative\nBe NAV, PPB, Fish ID and NAT specialty Instructors \n\nPlease send CVs to christi.etches@roatanmarinepark.net and christianne.etches@gmail.com"
Community,"That's a good question Kirsty Doig, We'll check it out!"
Information,Please keep in mind that we have had many great movements and conservation efforts on Roatan this year! There are some great opportunities for photographers to submit photos into the Conservation in Action category of the 2014 Photo Competition such as: \n\nThe supermarket's initiative to reduce the amount of plastic bags on the island.\nThe launch of the Go Blue Central America Geotourism website that promotes over 80 businesses island wide.\nThe Bay Islands Coastal Cleanup initiative or any beach/coastal cleanups around the island. \nThe community based patrols that are happening around the island. \nLocal Divers! \nLocal community businesses that are choosing an alternative to fishing and exploiting the reef! \n\nIt is a bonus category that should spark your creativity! There is conservation in action everyday and no limits to how many photos you can submit!! \n\nHappy shooting and keep the great photos coming!!
Action,"The cost is $50 for divers or snorkelers and includes the spear, the course, paperwork and the license. I am conducting one this afternoon at 4pm in West End for free divers"
Community,Let see how we do on captions... Caption Needed! 
Information,"San Simon, West Bay"
Community,"Yes, we have an english version which will also be uploaded"
Information,"DO NOT VOTE ON THIS ALBUM! Please note that this is not the album that will be open for LIKES. We will post a new album shortly of the top 20 photos chosen by the RMP staff based on how rare and unusual the find actually is. We will then be asking you, our friends and members, to vote on your favourite of those 20! \nPlease keep your eyes and ears open as LIKING will only be open for ONE WEEK!!!"
Action,Only a week left until closing of the photo competition. Please send your entries in soon to have your chance to have your pictures in the 2012 RMP calendar
Community,"Thank You to everyone that came out and all the businesses that donated material and services on Sunday!! \r\nEspecially the West End Patronato, South Shore Canopy, Sundowner's Beach Bar, CORAL, CEM, Argentinean Grill, Buena Vida, Cafe Escondido, Waves of Art, Guatemalan Gift Shop, Coconut Tree Divers, Enomis Divers, Ocean Connections and West Bay Divers."
Community,"Hi Dian, it's $8 for one."
Community,Wouldn't this be amazing?
Community,Photo of the week!!
Community,"As vote by you, our supporter, member and friend this Flying Gurnard has won 3rd Place in our BEST FIND Category! Congratulations @Jennifer Keck Hutton!"
Community,Conservation pumpkins from around the world! Thank you Anthony Davis for your amazing carving!
Information,"We were able to install 4 fishing moorings around Cordelia Banks. Part of an extensive marine infrastructure funded by CORAL and Port of Roatan, the RMP has also installed snorkel moorings and demarcation markers."
Information,Please don't step on meee!
Information,learn more about our problems with the lionfish and how we are combatting the problem
Information,Our little buddy at Maya Key! Gonna have a few months of rehab then back into the real world!! 
Community,We recognize that effort.
Information,"Last week our director was on the Atlantic coast of Guatemala in conjunction with Healthy Reefs Initiative, DIPESCA, Fundacion Mundo Azul and Waterquest dive shop teaching local fishermen the importance of sustainable fishing. \nThere was a strong emphasis in shark fishing/overfishing as it is the number one income for many coastal communities. \nFishermen were also taught how to monitor their waters by being trained in AGRRA (Atlantic Gulf coast Rapid Reef Assessment)\nMarine protected areas Sarstun and Punta de Manabique are our closest protected neighbours and have a direct impact on us and us on them.\nThe time spent was essential for the protection of the entire Mesoamerican Reef Region. The sooner we realize and understand that we are all connected and impacts are not localized the better off we will all be!"
Action,"Check back regularly to see the submissions for this year's photo competition.  Winners will be announced in August and featured in the 2010 RMP Calendar, which will be available in late Sept. \n\nNames of the submitters will not be shown prior to judging so as to not bias the results."
Information,"Now all the pictures are labelled you will understand them. All live conch, fish and lobster are returned to the water. Sadly anything which we were unable to prevent people from killing are returned to the sea so other animals can benfit from their loss"
Information,The August newsletter is now available at\nhttp://www.roatanmarinepark.com/newsletters/2010/08-August.pdf
Information,They were very happy to get to the sargassum! They immediately started lounging and floating in their temporary home!
Information,"It is a great feeling when the communities get together and protect our heritage. Thank you to everyone that helped us out, because of you we helped 22 baby turtles. They are at Maya Key until they are spunky enough to release!  We will keep you updated on the release date!"
Information,Together we can make a difference!!
Information,You can view the January 2010 RMP newsletter at http://www.roatanmarinepark.com/newsletters/2010/01-January.pdf\nHappy reading
Community,We have noticed... are doing investigation on it now :)
Action,This is what is happening throughout the Caribbean.  Please help us by reporting any illegal activities so it does not start happening here!  #roatanforparrotfish #saveourreefs
Community,Best Find Album. The photo with the most likes will win when judging stops at the end of the month. Good luck to all competitors
Community,Thanks again to all the contestants who entered the photo contest. We are currently working on the 2010 calendar which should be available in october
Action,US calendar orders will be shipped tomorrow... if you haven't ordered yet you have a couple hours left to do so! \nPlease send any orders to info@roatanmarinepark.net
Community,"Sorry typo in the categories... Please add ""reef life and behaviour"" in place of the extra ""divers""."
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses within the SBWEMR between January and July 2015. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservation message, we would be unable to continue protecting Roatan's reefs"
Information,Final count on LIKES= 28
Information,August's newsletter is now available. Happy reading \n
Community,Dr. Sylvia Earle message of hope for President Lobo of Honduras after a diving expedition to the Swan Islands and Cordelia Bank off the coast of Honduras.\n
Community,Voting is now closed but we will leave this album up for your enjoyment plus there are some really great comments on the photos that I just can't delete! :)
Community,Gonna be stuck inside on a rainy/snowy day?? Check out our Pinterest Fun Activities board for some beat the blues things to do!\nhttp://www.pinterest.com/roatanmarineprk/fun-activities/
Community,"Not necessarily will touching coral kill it but, it weakens the corals natural defenses. \nNow, if someone or something has already weakened its defenses then yes, it may die from being touched."
Action,We will be cleaning Mangrove Bight Area with the Miguel Paz Barahona on Friday June 28th from 7-10 AM!!  Please come out and join us!!
Information,2445-4206 & 2445-4208 (8:30-5 M-F)
Information,At least we have a chance...
Information,"The selling of seahorses are COMPLETELY ILLEGAL... And the commercialization of conch shells are as well within the national marine park. We unfortunately cannot fight this battle as of yet.  According to CITES however, no more than one is allowed to cross international borders and we have been taking that route of educating the buyers to try to reduce the demand so that when we are able to stop the selling it won't become a full on war."
Community,Here is a innovative approach to helping you cut plastic out of your lives. Including recipes on making your own shampoo and toothpaste too. Check it out. http://www.onegreenplanet.org/environment/life-hacks-to-help-you-cut-plastic-out-of-the-picture/
Action,"The RMP will be hosting a lionfish cook off this evening at Coconut Tree Restaurant. Vince will once again be defending his title and this time he has new challengers. New competing cooks from the Landing, Blue Marlin and Fosters, as well as old rivals from Lighthouse, will be trying to become the new lionfish champion. Only 40 plates so make sure you are there to eat and judge at 6.30 pm"
Community,"Donna Pieracini, It has already been dremmeled! Small letters :)"
Action,"We've had such a great response from our Roatan Honey, both medicinal and with honeycomb... we have nearly sold out! (Until the next batch comes in) so to avoid disappointment, come get yourself a jar today."
Community,David Hennings you only snorkel with these gentle giants... :) So there is still a chance!
Community,"Sustainability is the balanced use of available resources in order to preserve them for their utilization by future generations.\nSustainable agriculture aims to contribute to the improvement of the environment, the use of natural resources and raw materials and the economic development of society in general."
Community,Charles Crouch it's an octopus in a conch shell!
Information,There are 6 boats that are legally allowed to do a population study. They bring in their product to Hybur here on Roatan and a few processing plants in Atlantida (Ceiba mostly)
Action,Have you seen something that you would like to change about the solid waste management on our island? Ever wonder what you could to do make a difference?\nYour opportunity has come! Roatan is one of the 5 selected sites for this years MAR LEADERSHIP PROGRAM! \nThe program is open to anyone no matter nationality or age! Application DEADLINE IS MAY 20th!! \n\nhttp://liderazgosam.org/blog/2014/04/21/2014-call/?lang=en
Community,email me on nic.bach@roatanmarinepark.net so we can discuss this matter more. take care
Information,"There is a section that has been protected longer than others. It is called the Sandy Bay- West End Marine Reserve or SBWEMR. That is what is in the link you posted. It does need to be updated but the information is not wrong as it states that we work outside of the SBWEMR as well. \nWe have been a National Marine Park as of 2010. \nI think the confusion stems from the use of the term ""marine park"" to define the SBWEMR.  \nThanks for sharing and allowing us to clear the confusion."
Action,"Because after 3 days of celebrations the beaches and bays in West End will be inundated with trash, JOIN US FOR BEACH & UNDERWATER CLEANUP DAY IN WEST END!  WHEN? Monday, Sept 14, 2009 (the day after the Fish Tournament) between 3-6 pm WHERE TO MEET: Roatan Marine Park Office, West End For those who helped out, Stop @ Jamming for the after-cleanup party for free beers and soft drinks :)"
Action,"Don't Forget that we offer Trips. Glass Bottom Boat, Dolphin shows, Maya Key animal preserve and snorkeling trips are available. \nIf you know any groups, school or other, that are interested please contact Christi @ 3289 1213\n\nLet's get out and see what our island it really about!!!"
Community,"Yes, that would be awesome"
Information,"This was the sargassum in Half Moon Bay 2 days ago. Due to the change in water movement it is being washed up on many beaches here on Roatan! It is a proverbial floating raft of protection for so many pelagic species..\nIn it you can find things from Sea Slugs, Filefish, Frogfish, Seahorses, Pipehorses, Spanish Dancers, Crabs, Shrimp and baby turtles!! \nIt's a great place to go for an exploration dive/snorkel or rescue some animals! Keep your eyes open and our phone numbers on hand :) :)\n 2445-4206 2445-4208  3289-1213 (Christi)  3351-8591 (Giaco) 3320-6940 (Nick) and 3392-8340 (Marta)"
Information,"We are working this Semana Santa (Holy Week) in collaboration with COPECO http://copeco.gob.hn/n/, Marina Mercante (Merchant Marine), Policia Nacional, Policia Municipal, Municipal of Roatan, Cruz Roja (Red Cross), Bomberos (firefighters of Roatan) and the Centro de Salud to keep all our visitors safe! \n\nWe will be patrolling the beach and on our boats to help keep our reef safe as well!! \n\nIf you have a Health Emergency please call COE (Centro de Operaciones de Emergencia) @ 2445-1972 if you cannot get through then call  our Vice Mayor Elsa @ 9986-6626. \n\nIf you have a Marine or Reef Emergency please call our Director Giaco @ 3171-5982 or our office @ 2445-4206\n\nHere's to an incident free week!"
Community,Thank you for all of the photographers that took time out of their precious days to send us your great photos!\n\nWe will open up voting for our BEST FIND category on Friday! Voting will be open for one week and your votes will determine the winners of that category!
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses within the SBWEMR between January and March 2015. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservation message, we would be unable to continue protecting Roatan's reefs"
Information,"These guys operated on a Sunday intentionally when they knew the Port Captain would be unreachable and finding Navy would be unlikely. The law of the sea applies to every country and the US is the same. A policeman can not climb onto a boat unless invited. If you watch the video above, you will see that some of the cucumbers were confiscated from the smaller vessels."
Community,"We would like to thank Rigoberto from the Palmetto area who took the initiative to confiscate this juvenile hawksbill from fishermen and bring the lucky individual to the RMP office where it was subsequently released. If you see people with captive turtles, please call us on 2445-4208,"
Community,Photo of the Week. Thank you Peter Hughes for this precious hawksbill profile!
Information,"Dear Jon, Thank you for generating the opportunity to clarify your points in an objective manner.\n1. Performance requirements are limited to buoyancy control and proper aiming and shooting skills with the Hawaiian Slings. Additionally, we have a liability release form which also states that you are aware that the Hawaiian Sling is intended for lionfish and lionfish only, and that if you are caught with anything else, you\u2019ll be in trouble.\n2. The most immediate sites to be impacted are those located within the Sandy Bay \u2013 West End area and also on the Southside from West all the way East bordering Oakridge; this shoreline, all the way until 60 m below sea level. Other project regarding lionfish control is being started with Punta Gorda (North-East) community members. \nAlthough the above are represents RMP\u2019s immediate jurisdiction boundaries, the new regulations are being designed to fit within a general Management Plan for the whole Bay Islands National Marine Park (all three islands). Therefore, one of the main drivers of change regarding for the Lionfish Program is the need to standardize the program within the three islands.\n3. Unfortunately, lionfish data from independent lionfish hunters is hard to standardize and make plausible conclusions based on it. But, lionfish population data is indeed being collected by the RMP along with other institutional partners through a monitoring system called AGRRA (Atlantic and Rapid Reef Assesment). Through this periodic monitoring system we evaluate the reef\u2019s health based on distinct indicators classified into benthic cover, invert biota, commercial fish biomass, and herbivorous fish biomass. Lionfish population is accounted for here. In the West \u2013 North portion of Roatan we have 8 permanent monitoring sites. \nThe data above is being collected and important publications are already available online (http://www.healthyreefs.org/index.php/en/)\nAt the moment, we are developing parallel monitoring systems regarding poaching pressure in order to correlate patrolling efficiency & reef\u2019s health, in a way where we may actually quantify our management success or failure, and to promote adaptive management based on pertinent scientific data.\nWe have no scientific conclusions regarding lionfish impact yet, but on a subjective appreciation we do recognize that populations have been declaiming within popular dive sites where lionfish hunters are active. \n4. Data to be collected after the new rules are enforced will depend only in the willingness of the licensed hunters to provide it \u2013 we have the intention of developing and promoting an interactive webpage were you may login key data that will allow us to estimate catch rates vs. man/hour effort in specific sites. \n 5. No data has been really collected from current lionfish hunters.\n6. We do need to be flexible and that is the spirit of our \u201cadaptive management concept\u201d, we change in response of objective experience.\n7. Lionfish numbers are clearly not the focus of these new rules, the damage being done to the reef by inexperienced divers with poor buoyancy control are the issue being addressed = RMP\u2019s point of view.\nOnce again Jon, thank you for your time in generating this important questions. I hope you may help us set these new rules in place and of course, I\u2019ll let you know when the lionfish hunter\u2019s portal is available for you to enter your own catch data. Best, Andr\xe9s."
Information,Great role model for the rest of us! 
Community,"Whooo hoo! \nRoatan is rated #1 in Marine Environment, #4 in Beginner Dives, #5 in both Shore Diving and Visibility and #6 in both Overall Diving and Overall Destination!!"
Community,Dive professionals sharing their passion! Thanks Alan for these sweet shots! 
Community,"Thank you to everyone who came down to the cook off last night, what a great evening! A great start to the Caribbean Cup Freediving Competition. The winner of the Lionfish Cook Off was Turquoise Bay Dive & Beach Resort. Thanks to all the competitors for their delicious entries Tita's Pink Seahorse Mayan Princess Beach & Dive Resort Booty Bar, West End, Roatan and The Beach Club, San Simon , such a great venue! Thank you!"
Community,Thank you for the video... it's beautiful!
Information,"While patrolling near Lawson Rock, our Park Ranger spotted a soda bottle floating in the water that wasn't moving in the wind. Looking suspicious, he pulled the bottle and line in and to his amazement found 2 full sacks of adult conch. The 29 conch have obviously been collected earlier and the culprits were waiting for dark to bring them out. Fortunately they were discovered before being ""popped"" and brought to West End where they were released"
Action,Only the Best Find is voted on. The album is up now. Just click like on your favourite photos and boom! That's your vote :) \nVoting closes on Friday the 31st :)
Community,Photo of the week! Juvenile Threespot Damselfish by Kal Lin at Fish Den
Community,Winners of the 2014 RMP Photo competition! There was some trouble opening the Prezi presentation so here are the winners in an easier format! \nThank you to everyone that submitted photos and a big CONGRATS to all the winners!
Information,"To hunt lionfish you must first become licensed and the RMP holds workshops costing $50. Snorkelers and divers will receive training, the spear and a 2 year license. This price would include the choice of spear, however the 6 prong detachable head will add to the final price"
Community,http://lanoticia.hn/medio-ambiente/conservacion-del-arrecife-mesoamericano-el-caso-de-honduras/\n
Community,"Lo siento,  las preguntas anteriores no fueron insultos, pero como bien sabes, hay muchas personas que crean problemas y no ofrecen soluciones. No me pareces como una de esas personas.\n\nPareces que realmente se preocupa por el bienestar de las islas y te deseamos todo el \xe9xito en el mundo.\n\n Tuvimos una visita para el a\xf1o pasado para hacer unas charlas sobre el pez le\xf3n y c\xf3mo podemos ayudar a controlarlo y no solamente para ofrecer una manera para el consumo domestico pero tambi\xe9n para discutir el mercado que ya tenemos en tierra firme. Pero, lastimosamente, nunca parec\xeda ser el momento adecuado. \n\nEstamos a la orden para ayudar con este programa y si hay algo mas en que podemos ayudar no dude en preguntar."
Information,"This is why we have put so much time and energy into our Corozal Bee Project. We do not underestimate the importance of our bees and flowers, and you shouldn't  either!"
Information,"On Saturday 29th September, we received reports of people diving in front of Jonesville with a compressor. With assistance from  the Navy, our Park Ranger was able to apprehend the 2 suspects who had collected over 50 sea cucumbers and several lobster. The boat and the dive gear were confiscated, the sea cucumbers relocated, and the divers sent to jail for 24hrs. Thank you those that reported the incident and to the Navy fro assisting."
Action,"Reminder that the lionfish derby will be taking place next weekend. If you are interested, please contact us"
Community,"Hola Helder! Te podemos mandar uno con Vern, que viaja diariamente de Utila a Roatan, aunque es probable que vayan a estar disponibles en un dive shop de Utila pronto... te vamos a avisar!"
Community,The citizens of French Key have always been partners in protecting the sea and all creatures living in it and it is very important that we continue to work together!
Information,"Unfortunately they (all divemasters/instructors) have been asked not to feed wild animals as it states very clearly in our rules and regulations of the National Marine Park that it is prohibited. \nSome have stopped, others continue. \nThey need to take pride in the reef and understand the damage that they are causing to be able to change the mentality of what they have been doing for decades."
Community,"Hi Deanne Wright, it would be great to get a helping hand on a brochure. Please email us at info@roatanmarinepark.net and we can speak in more detail. Thank you!"
Community,Photo Competition is now closed!!! Please be in the lookout for our UPDATED BEST FIND CATEGORY to like your favorites!!
Community,Hedman Alas
Community,"Lo siento Biel, pero est\xe1 un poco complicado enviarte uno a Mallorca :S"
Action,New hoodies are in just in time to keep you warm during this squall! Check out our new colours at the EcoStore in West End and at the kiosks at both cruise ship docks!
Community,What we recommend is giving the municipality a call at 2445-1299 to see if there is a schedule that they use for pick up to better suit your needs.
Information,We planted over 600 plants for our nursery! These plants will be used to not only maintain the soil between roads and the beach but also to beautify the communities of Roatan!
Action,Click on the link and find out how you could have the chance of winning a week of diving at Anthony's Key Resort
Community,Awesome... Thanks Vanessa!! Sounds like a lot of fun!
Community,Thanks to everyone... apparently it's not as 'basic' as was once thought...
Information,Eunice roussaei (The Thing)
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses within the SBWEMR between January and June 2015. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservation message, we would be unable to continue protecting Roatan's reefs"
Information,Confiscated items from 2009
Community,Yes... very much so.
Information,"We are shocked to hear about the violent passing of a beloved friend and supporter, Patrick Zing. He was a kind person and during his time here on Roatan, was involved or responsible for introducing thousands of people to the underwater world. He will be greatly missed and we hope that all those who knew or worked with him will offer thier condolenses to his family who is travelling to Roatan to address this tragedy. A true friend and supporter has been taken away from us all"
